Series Name,"Series Code","Country Name","Country Code","1990 [YR1990]","2000 [YR2000]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]","2023 [YR2023]","2024 [YR2024]","2025 [YR2025]"
Population density (people per sq. km of land area),"EN.POP.DNST","Afghanistan","AFG","18.4684237155605","30.8638471091486","53.2030296061205","54.7183278904681","56.3344817012404","58.0410606687825","59.9006163469942","61.3286907992579","62.2155405301811","63.5585008355948","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Albania","ALB","119.946788321168","112.738211678832","98.155802919708","96.6527372262774","95.1727372262774","93.7153649635036","92.2802919708029","90.8672262773723","89.4757664233577","88.1056569343066","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Algeria","DZA","10.6543157523491","12.9753428165963","17.1516218598076","17.5037080018356","17.846203680417","18.1776961381175","18.4915612115512","18.7934447084904","19.0941870229328","19.3825602290762","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","American Samoa","ASM","233.2","284.275","261.225","257.93","254.54","251.045","248.805","246.125","241.71","237.605","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Andorra","AND","111.908510638298","139.755319148936","153.576595744681","156.942553191489","159.91914893617","162.710638297872","164.63829787234","166.731914893617","169.585106382979","172.034042553191","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Angola","AGO","9.32570786877356","12.9901892997513","23.4082537900056","24.2518962059838","25.1039985561883","25.969063928772","26.8317413972888","27.6990687414775","28.5834835966953","29.4777460495709","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Antigua and Barbuda","ATG","143.331818181818","170.254545454545","204.475","205.609090909091","206.65","207.645454545455","208.740909090909","209.884090909091","211","212.081818181818","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Argentina","ARG","11.9691674979629","13.5981729753827","16.0413905118958","16.1833799224611","16.3171137395905","16.4335255363231","16.5133665121004","16.5573305708721","16.5922716858687","16.6399559321662","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Armenia","ARM","..","113.140147523709","105.103617843344","104.650509308044","104.285212504391","104.056902002107","105.027376627853","105.056940272915","105.297053157777","105.119108748259","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Aruba","ABW","348.627777777778","503.266666666667","604.038888888889","604.083333333333","605.044444444444","606.683333333333","603.261111111111","598.333333333333","596.166666666667","596.438888888889","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Australia","AUS","2.22135662496908","2.47696679379873","3.14493553058884","3.19715601363491","3.24534491589985","3.29365056253104","3.33452695130798","3.33922844714392","3.38256023775289","3.46591948538875","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Austria","AUT","93.0422927775085","97.0863548230732","105.873339796413","106.61131846825","107.131858943286","107.609306834707","108.057004362579","108.528805138148","109.571631119729","110.661185167232","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Azerbaijan","AZE","..","97.434779976999","118.033288980283","119.208741622511","120.25759188908","121.280071139933","122.124736829369","122.658802177858","122.707271627344","122.854906231095","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Bahamas, The","BHS","27.5669330669331","32.3511488511488","38.7667332667333","39.0094905094905","39.2324675324675","39.4280719280719","39.5467532467532","39.5977022977023","39.7140859140859","39.9040959040959","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Bahrain","BHR","746.082608695652","898.002816901408","1827.63286264442","1924.50769230769","1931.99357326478","1902.25128205128","1875.41910828025","1904.25949367089","1929.99113924051","1971.32375","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Bangladesh","BGD","857.599423830376","1033.6045478989","1235.3993393255","1245.95641852962","1256.22726434662","1266.90523930245","1277.54493354844","1287.99918568026","1300.36002610164","1319.17979689183","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Barbados","BRB","601.353488372093","609.448837209302","650.227906976744","651.560465116279","652.816279069767","653.96976744186","655.111627906977","656.155813953488","656.553488372093","656.595348837209","..",".."
